ID,pot_type,strat,rep,config,rowcol,row,col,seed,density,taxa,harvest,potnumber
6_high_quarterA_Cc.Hm_1_early,Cc.Hm,6,1,quarterA,f.3,f,3,0,high,H.matronalis,early,3
6_high_quarterA_Cc.Hm_1_early,Cc.Hm,6,1,quarterA,f.5,f,5,0,high,H.matronalis,early,3
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,a.2,a,2,0,high,H.matronalis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,a.4,a,4,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,b.1,b,1,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,b.3,b,3,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,b.5,b,5,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,c.2,c,2,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,c.4,c,4,0,high,H.matronalis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,c.6,c,6,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,d.1,d,1,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,d.3,d,3,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,d.5,d,5,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,e.2,e,2,0,high,H.matronalis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,e.4,e,4,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,e.6,e,6,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,f.3,f,3,1,high,C.canadensis,early,4
6_high_quarterB_Cc.Hm_1_early,Cc.Hm,6,1,quarterB,f.5,f,5,0,high,H.matronalis,early,4
