"potnumber","strat","n_Cc","MGT_Cc","MG_Cc","n_Hm","MGT_Hm","MG_Hm","priority","type"
147,6,0,NA,NA,8,2.87500125,1320,NA,"single species"
149,6,0,NA,NA,1,3,771,NA,"single species"
150,6,0,NA,NA,3,3,1030,NA,"single species"
182,12,0,NA,NA,14,2.42857142857143,1872,NA,"single species"
187,12,0,NA,NA,14,2,1260,NA,"single species"
192,12,0,NA,NA,14,2,1466,NA,"single species"
227,12,0,NA,NA,8,3,1854,NA,"single species"
229,12,0,NA,NA,1,1e-05,NA,NA,"single species"
232,12,0,NA,NA,8,1.875,987,NA,"single species"
237,12,0,NA,NA,8,1.37500375,1009,NA,"single species"
237,12,0,NA,NA,8,1.37500375,2109,NA,"single species"
272,12,0,NA,NA,14,1.85714285714286,1779,NA,"single species"
277,12,0,NA,NA,14,2.285715,2188,NA,"single species"
282,12,0,NA,NA,13,1.69230923076923,2463,NA,"single species"
317,12,0,NA,NA,8,2.25000125,1798,NA,"single species"
322,12,0,NA,NA,8,1.8750025,2572,NA,"single species"
327,12,0,NA,NA,8,1.75000125,NA,NA,"single species"
330,12,0,NA,NA,4,2.75,1987,NA,"single species"
